station,station name,station name english,on_line
tokyo-metro-六本木駅,六本木駅,Roppongi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-神谷町駅,神谷町駅,Kamiyachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-日比谷駅,日比谷駅,Hibiya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-銀座駅,銀座駅,Ginza,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-東銀座駅,東銀座駅,Higashi-ginza,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-築地駅,築地駅,Tsukiji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-八丁堀駅,八丁堀駅,Hatchōbori,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-茅場町駅,茅場町駅,Kayabachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-人形町駅,人形町駅,Ningyōchō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-小伝馬町駅,小伝馬町駅,Kodemmachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-秋葉原駅,秋葉原駅,Akihabara,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-仲御徒町駅,仲御徒町駅,Naka-Okachimachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-上野駅,上野駅,Ueno,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-入谷駅,入谷駅,Iriya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-三ノ輪駅,三ノ輪駅,Minowa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-南千住駅,南千住駅,Minami-Senju,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-北千住駅,北千住駅,Kita-Senju,http://datadock.io/kal/data/id/resource/line/tokyo-metro-H
tokyo-metro-中野駅,中野駅,Nakano,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-落合駅,落合駅,Ochiai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-高田馬場駅,高田馬場駅,Takadanobaba,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
