station,station name,station name english,on_line
tokyo-metro-日本橋駅,日本橋駅,Nihombashi,tokyo-metro-T
tokyo-metro-茅場町駅,茅場町駅,Kayabachō,tokyo-metro-T
tokyo-metro-門前仲町駅,門前仲町駅,Monzen-Nakachō,tokyo-metro-T
tokyo-metro-木場駅,木場駅,Kiba,tokyo-metro-T
tokyo-metro-東陽町駅,東陽町駅,Tōyōchō,tokyo-metro-T
tokyo-metro-南砂町駅,南砂町駅,Minami-Sunamachi,tokyo-metro-T
tokyo-metro-西葛西駅,西葛西駅,Nishi-Kasai,tokyo-metro-T
tokyo-metro-葛西駅,葛西駅,Kasai,tokyo-metro-T
tokyo-metro-浦安駅,浦安駅,Urayasu,tokyo-metro-T
tokyo-metro-南行徳駅,南行徳駅,Minami-Gyōtoku,tokyo-metro-T
tokyo-metro-行徳駅,行徳駅,Gyōtoku,tokyo-metro-T
tokyo-metro-妙典駅,妙典駅,Myōden,tokyo-metro-T
tokyo-metro-原木中山駅,原木中山駅,Baraki-Nakayama,tokyo-metro-T
tokyo-metro-西船橋駅,西船橋駅,Nishi-Funabashi,tokyo-metro-T
tokyo-metro-代々木上原駅,代々木上原駅,Yoyogi-Uehara,tokyo-metro-C
tokyo-metro-代々木公園駅,代々木公園駅,Yoyogi-Kōen,tokyo-metro-C
tokyo-metro-明治神宮前〈原宿〉駅,明治神宮前〈原宿〉駅,Meiji-Jingūmae (Harajuku),tokyo-metro-C
tokyo-metro-表参道駅,表参道駅,Omotesandō,tokyo-metro-C
tokyo-metro-乃木坂駅,乃木坂駅,Nogizaka,tokyo-metro-C
tokyo-metro-赤坂駅,赤坂駅,Akasaka,tokyo-metro-C
tokyo-metro-国会議事堂前駅,国会議事堂前駅,Kokkai-Gijidō-mae,tokyo-metro-C
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,tokyo-metro-C
tokyo-metro-日比谷駅,日比谷駅,Hibiya,tokyo-metro-C
tokyo-metro-二重橋前駅,二重橋前駅,Nijūbashimae,tokyo-metro-C
tokyo-metro-大手町駅,大手町駅,Ōtemachi,tokyo-metro-C
tokyo-metro-新御茶ノ水駅,新御茶ノ水駅,Shin-Ochanomizu,tokyo-metro-C
tokyo-metro-湯島駅,湯島駅,Yushima,tokyo-metro-C
tokyo-metro-根津駅,根津駅,Nezu,tokyo-metro-C
tokyo-metro-千駄木駅,千駄木駅,Sendagi,tokyo-metro-C
tokyo-metro-西日暮里駅,西日暮里駅,Nishi-Nippori,tokyo-metro-C
tokyo-metro-町屋駅,町屋駅,Machiya,tokyo-metro-C
tokyo-metro-北千住駅,北千住駅,Kita-Senju,tokyo-metro-C
tokyo-metro-綾瀬駅,綾瀬駅,Ayase,tokyo-metro-C
tokyo-metro-和光市駅,和光市駅,Wakōshi,tokyo-metro-Y
tokyo-metro-地下鉄成増駅,地下鉄成増駅,Chikatetsu-Narimasu,tokyo-metro-Y
tokyo-metro-地下鉄赤塚駅,地下鉄赤塚駅,Chikatetsu-Akatsuka,tokyo-metro-Y
tokyo-metro-平和台駅,平和台駅,Heiwadai,tokyo-metro-Y
tokyo-metro-氷川台駅,氷川台駅,Hikawadai,tokyo-metro-Y
tokyo-metro-小竹向原駅,小竹向原駅,Kotake-Mukaihara,tokyo-metro-Y
tokyo-metro-千川駅,千川駅,Senkawa,tokyo-metro-Y
tokyo-metro-要町駅,要町駅,Kanamechō,tokyo-metro-Y
tokyo-metro-池袋駅,池袋駅,Ikebukuro,tokyo-metro-Y
tokyo-metro-東池袋駅,東池袋駅,Higashi-Ikebukuro,tokyo-metro-Y
tokyo-metro-護国寺駅,護国寺駅,Gokokuji,tokyo-metro-Y
tokyo-metro-江戸川橋駅,江戸川橋駅,Edogawabashi,tokyo-metro-Y
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,tokyo-metro-Y
tokyo-metro-市ケ谷駅,市ケ谷駅,Ichigaya,tokyo-metro-Y
tokyo-metro-麹町駅,麹町駅,Kōjimachi,tokyo-metro-Y
tokyo-metro-永田町駅,永田町駅,Nagatachō,tokyo-metro-Y
tokyo-metro-桜田門駅,桜田門駅,Sakuradamon,tokyo-metro-Y
tokyo-metro-有楽町駅,有楽町駅,Yūrakuchō,tokyo-metro-Y
tokyo-metro-銀座一丁目駅,銀座一丁目駅,Ginza-itchōme,tokyo-metro-Y
tokyo-metro-新富町駅,新富町駅,Shintomichō,tokyo-metro-Y
tokyo-metro-月島駅,月島駅,Tsukishima,tokyo-metro-Y
tokyo-metro-豊洲駅,豊洲駅,Toyosu,tokyo-metro-Y
tokyo-metro-辰巳駅,辰巳駅,Tatsumi,tokyo-metro-Y
tokyo-metro-新木場駅,新木場駅,Shin-Kiba,tokyo-metro-Y
tokyo-metro-渋谷駅,渋谷駅,Shibuya,tokyo-metro-Z
tokyo-metro-表参道駅,表参道駅,Omotesandō,tokyo-metro-Z
tokyo-metro-青山一丁目駅,青山一丁目駅,Aoyama-itchōme,tokyo-metro-Z
tokyo-metro-永田町駅,永田町駅,Nagatachō,tokyo-metro-Z
tokyo-metro-半蔵門駅,半蔵門駅,Hanzōmon,tokyo-metro-Z
tokyo-metro-九段下駅,九段下駅,Kudanshita,tokyo-metro-Z
tokyo-metro-神保町駅,神保町駅,Jimbōchō,tokyo-metro-Z
tokyo-metro-大手町駅,大手町駅,Ōtemachi,tokyo-metro-Z
tokyo-metro-三越前駅,三越前駅,Mitsukoshimae,tokyo-metro-Z
tokyo-metro-水天宮前駅,水天宮前駅,Suitengūmae,tokyo-metro-Z
tokyo-metro-清澄白河駅,清澄白河駅,Kiyosumi-shirakawa,tokyo-metro-Z
tokyo-metro-住吉駅,住吉駅,Sumiyoshi,tokyo-metro-Z
tokyo-metro-錦糸町駅,錦糸町駅,Kinshichō,tokyo-metro-Z
tokyo-metro-押上〈スカイツリー前〉駅,押上〈スカイツリー前〉駅,Oshiage,tokyo-metro-Z
tokyo-metro-目黒駅,目黒駅,Meguro,tokyo-metro-N
tokyo-metro-白金台駅,白金台駅,Shirokanedai,tokyo-metro-N
tokyo-metro-白金高輪駅,白金高輪駅,Shirokane-Takanawa,tokyo-metro-N
tokyo-metro-麻布十番駅,麻布十番駅,Azabu-Jūban,tokyo-metro-N
tokyo-metro-六本木一丁目駅,六本木一丁目駅,Roppongi-Itchōme,tokyo-metro-N
tokyo-metro-溜池山王駅,溜池山王駅,Tameike-Sannō,tokyo-metro-N
tokyo-metro-永田町駅,永田町駅,Nagatachō,tokyo-metro-N
tokyo-metro-四ツ谷駅,四ツ谷駅,Yotsuya,tokyo-metro-N
tokyo-metro-市ケ谷駅,市ケ谷駅,Ichigaya,tokyo-metro-N
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,tokyo-metro-N
tokyo-metro-後楽園駅,後楽園駅,Kōrakuen,tokyo-metro-N
tokyo-metro-東大前駅,東大前駅,Tōdaimae,tokyo-metro-N
tokyo-metro-本駒込駅,本駒込駅,Hon-Komagome,tokyo-metro-N
tokyo-metro-駒込駅,駒込駅,Komagome,tokyo-metro-N
tokyo-metro-西ケ原駅,西ケ原駅,Nishigahara,tokyo-metro-N
tokyo-metro-王子駅,王子駅,Ōji,tokyo-metro-N
tokyo-metro-王子神谷駅,王子神谷駅,Ōji-Kamiya,tokyo-metro-N
tokyo-metro-志茂駅,志茂駅,Shimo,tokyo-metro-N
tokyo-metro-赤羽岩淵駅,赤羽岩淵駅,Akabane-Iwabuchi,tokyo-metro-N
tokyo-metro-和光市駅,和光市駅,Wakōshi,tokyo-metro-F
tokyo-metro-地下鉄成増駅,地下鉄成増駅,Chikatetsu-Narimasu,tokyo-metro-F
tokyo-metro-地下鉄赤塚駅,地下鉄赤塚駅,Chikatetsu-Akatsuka,tokyo-metro-F
tokyo-metro-平和台駅,平和台駅,Heiwadai,tokyo-metro-F
tokyo-metro-氷川台駅,氷川台駅,Hikawadai,tokyo-metro-F
tokyo-metro-小竹向原駅,小竹向原駅,Kotake-Mukaihara,tokyo-metro-F
tokyo-metro-千川駅,千川駅,Senkawa,tokyo-metro-F
tokyo-metro-要町駅,要町駅,Kanamechō,tokyo-metro-F
tokyo-metro-池袋駅,池袋駅,Ikebukuro,tokyo-metro-F
tokyo-metro-雑司が谷駅,雑司が谷駅,Zōshigaya,tokyo-metro-F
tokyo-metro-西早稲田駅,西早稲田駅,Nishi-Waseda,tokyo-metro-F
tokyo-metro-東新宿駅,東新宿駅,Higashi-Shinjuku,tokyo-metro-F
tokyo-metro-新宿三丁目駅,新宿三丁目駅,Shinjuku-Sanchōme,tokyo-metro-F
tokyo-metro-北参道駅,北参道駅,Kitasandō,tokyo-metro-F
tokyo-metro-明治神宮前〈原宿〉駅,明治神宮前〈原宿〉駅,Meiji-Jingūmae,tokyo-metro-F
tokyo-metro-渋谷駅,渋谷駅,Shibuya,tokyo-metro-F
